0.22umF_san_pedro_creek_5242023,,0.22umF_san_pedro_creek_5242023-oq,,R_san_pedro_creek_5242023,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
464.9920959,0.01663668454,464.9920959,0.01449129451,464.9920959,0.1088411361,
459.9926758,0.01877885871,459.9926758,0.01686248742,459.9926758,0.1101469696,
454.9885254,0.02109667659,454.9885254,0.01890943199,454.9885254,0.1147366688,
450.0178833,0.02202371694,450.0178833,0.02031706274,450.0178833,0.1170086712,
445.004425,0.02316855639,445.004425,0.02115608566,445.004425,0.1174647361,
439.9863586,0.02373079024,439.9863586,0.02161408775,439.9863586,0.1184110343,
435.0020447,0.02324752696,435.0020447,0.02121914364,435.0020447,0.1199096441,
430.0133362,0.02377653308,430.0133362,0.02119182609,430.0133362,0.1206277236,
424.9818726,0.02325716801,424.9818726,0.02113602683,424.9818726,0.1215040684,
419.984375,0.0236839056,419.984375,0.02164366283,419.984375,0.1213993281,
414.9826355,0.02385036461,414.9826355,0.02152915671,414.9826355,0.1226844043,
410.0152588,0.02382298931,410.0152588,0.02155363932,410.0152588,0.1229461953,
405.005127,0.02328811213,405.005127,0.02144494839,405.005127,0.1235487089,
399.9909363,0.02356055193,399.9909363,0.02068325132,399.9909363,0.1245687902,
395.0112305,0.02295598947,395.0112305,0.02050079778,395.0112305,0.1247818246,
389.9889832,0.02305296436,389.9889832,0.02046589926,389.9889832,0.1261602044,
385.0013733,0.02382785827,385.0013733,0.02122743428,385.0013733,0.1278607547,
380.0099182,0.02558589727,380.0099182,0.02233534306,380.0099182,0.1312933713,
375.0147095,0.02742535807,375.0147095,0.02499921061,375.0147095,0.1322771758,
370.015686,0.03043613769,370.015686,0.02778404206,370.015686,0.1359477639,
365.0129395,0.03323068097,365.0129395,0.03049900383,365.0129395,0.1409880817,
360.0065613,0.03547304496,360.0065613,0.03229033574,360.0065613,0.1436901093,
354.9965515,0.03707592562,354.9965515,0.03404417634,354.9965515,0.1456659883,
349.9830322,0.03840966523,349.9830322,0.03502320871,349.9830322,0.1471104473,
