project	sample_date	read_date	media	incubation_temperature	id	dilution_factor	plaque_count	sample_vol_uL	PFU_per_mL	Famp_stock_generation_date	MS2_stock_generation_date	culturing_notes
grazing	4/19/23	04/21/2023	TSA	15.00	B-2-R-M-T0	1.00E+01	TNTC	300	TNTC			did not add famp day 0
grazing	4/19/23	04/21/2023	TSA	15.00	B-2-R-M-T0	1.00E+00	TNTC	300	TNTC
grazing	4/19/23	04/20/2023	TSA	NA	B-TSA-F-U-T0	1.00E+00	0	300	0.00E+00
grazing	4/19/23	04/20/2023	TSA	NA	B-TSA-R-U-T0	1.00E+02	0	300	0.00E+00
grazing	4/19/23	04/20/2023	TSA	NA	B-TSA-R-U-T0	1.00E+01	0	300	0.00E+00
grazing	4/19/23	04/20/2023	TSA	NA	B-TSA-R-U-T0	1.00E+00	0	300	0.00E+00
grazing	4/19/23	04/20/2023	TSA	NA	-TSA-N-U-T0	1.00E+00	0	300	0.00E+00
grazing	4/19/23	04/20/2023	TSA	NA	-TSA-M-	1.00E+09	21	300	7.00E+10
grazing	4/19/23	04/20/2023	TSA	NA	-TSA-M-	1.00E+08	72	300	2.40E+10
grazing	4/19/23	04/20/2023	TSA	NA	-TSA-M-	1.00E+07	TNTC	300	TNTC
grazing	4/19/23	04/20/2023	TSA	NA	-TSA-N-U-	1.00E+00	0	300	0.00E+00
grazing	4/19/23	04/20/2023	TSA	NA	-TSA-F-	1.00E+00	0	300	0.00E+00
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-F-M-T1	1.00E+04	0	300	0.00E+00
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-F-M-T1	1.00E+03	2	300	6.67E+03
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-F-M-T1	1.00E+02	10	300	3.33E+03
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-F-M-T1	1.00E+01	144	300	4.80E+03
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-F-M-T1	1.00E+00	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-F-M-T1	1.00E+04	0	300	0.00E+00
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-F-M-T1	1.00E+03	2	300	6.67E+03
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-F-M-T1	1.00E+02	65	300	2.17E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-F-M-T1	1.00E+01	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-F-M-T1	1.00E+00	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-25-M-T1	1.00E+04	0	300	0.00E+00
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-25-M-T1	1.00E+03	12	300	4.00E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-25-M-T1	1.00E+02	60	300	2.00E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-25-M-T1	1.00E+01	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-25-M-T1	1.00E+00	TNTC	300	TNTC
grazing	4/20/23	04/22/2023	TSA	15.00	B-2-25-M-T1	1.00E+02	5	300	1.67E+03			did not add famp day 0
grazing	4/20/23	04/22/2023	TSA	15.00	B-2-25-M-T1	1.00E+01	82	300	2.73E+03			did not add famp day 0
grazing	4/20/23	04/22/2023	TSA	15.00	B-2-25-M-T1	1.00E+00	TNTC	300	TNTC			did not add famp day 0
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-50-M-T1	1.00E+04	1	300	3.33E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-50-M-T1	1.00E+03	7	300	2.33E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-50-M-T1	1.00E+02	121	300	4.03E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-50-M-T1	1.00E+01	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-50-M-T1	1.00E+00	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-50-M-T1	1.00E+04	1	300	3.33E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-50-M-T1	1.00E+03	12	300	4.00E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-50-M-T1	1.00E+02	154	300	5.13E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-50-M-T1	1.00E+01	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-50-M-T1	1.00E+00	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-75-M-T1	1.00E+04	1	300	3.33E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-75-M-T1	1.00E+03	2	300	6.67E+03
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-75-M-T1	1.00E+02	77	300	2.57E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-75-M-T1	1.00E+01	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-75-M-T1	1.00E+00	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-75-M-T1	1.00E+04	0	300	0.00E+00
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-75-M-T1	1.00E+03	4	300	1.33E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-75-M-T1	1.00E+02	92	300	3.07E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-75-M-T1	1.00E+01	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-2-75-M-T1	1.00E+00	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-R-M-T1	1.00E+04	10	300	3.33E+05
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-R-M-T1	1.00E+03	31	300	1.03E+05
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-R-M-T1	1.00E+02	202	300	6.73E+04
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-R-M-T1	1.00E+01	TNTC	300	TNTC
grazing	4/20/23	04/21/2023	TSA	15.00	B-1-R-M-T1	1.00E+00	TNTC	300	TNTC
grazing	4/20/23	04/22/2023	TSA	15.00	B-2-R-M-T1	1.00E+02	1	300	3.33E+02			did not add famp day 0
grazing	4/20/23	04/22/2023	TSA	15.00	B-2-R-M-T1	1.00E+01	81	300	2.70E+03			did not add famp day 0
grazing	4/20/23	04/22/2023	TSA	15.00	B-2-R-M-T1	1.00E+00	TNTC	300	TNTC			did not add famp day 0
grazing	4/20/23	04/21/2023	TSA	NA	-TSA-N-U-T1	1.00E+00	0	300	0.00E+00
grazing	4/20/23	04/21/2023	TSA	NA	-TSA-N-U-	1.00E+00	0	300	0.00E+00
grazing	4/21/23	04/22/2023	TSA	15.00	B-1-F-M-T2	1.00E+02	1	300	3.33E+02
grazing	4/21/23	04/22/2023	TSA	15.00	B-1-F-M-T2	1.00E+01	19	300	6.33E+02
grazing	4/21/23	04/22/2023	TSA	15.00	B-1-F-M-T2	1.00E+00	227	300	7.57E+02
grazing	4/21/23	04/22/2023	TSA	15.00	B-2-F-M-T2	1.00E+02	3	300	1.00E+03
